path,category,status,owner,version,last_reviewed,source_of_truth
WORKSPACE_ORGANIZATION_PLAN.md,doc,active,workspace_steward,v1,2026-04-17,no
WORKSPACE_INDEX.md,doc,active,workspace_steward,v1,2026-04-17,yes
00_governance/docs/project_scope,doc,active,workspace_steward,v1,2026-04-17,no
01_data/raw/osteogenesis_imperfecta_camber_input_minimal_v1.csv,data,active,data_custodian,v1,2026-04-17,yes
01_data/reference/codebook_v3_fixed.md,data,active,data_custodian,v3_fixed,2026-04-17,yes
01_data/reference/gene_map_v1.csv,data,active,data_custodian,v1,2026-04-17,yes
02_analysis/notebooks/active/oi_oro_dental_master_FINAL_1_2.ipynb,notebook,active,analysis_owner,final_1_2,2026-04-17,yes
02_analysis/scripts/active/oi_oro_dental_master_FINAL_1_2.py,script,active,analysis_owner,final_1_2,2026-04-17,yes
02_analysis/scripts/active/build_FINAL.py,script,active,analysis_owner,final,2026-04-17,yes
02_analysis/notebooks/legacy,notebook,legacy,analysis_owner,v3_series,2026-04-17,no
02_analysis/scripts/legacy,script,legacy,analysis_owner,v3_series,2026-04-17,no
02_analysis/prompts,doc,active,workspace_steward,v1,2026-04-17,no
02_analysis/validation,doc,active,analysis_owner,v1,2026-04-17,no
03_outputs/active/outputs_FINAL_1_2,output,active,analysis_owner,final_1_2,2026-04-17,yes
03_outputs/active/figures_FINAL_1_2,output,active,analysis_owner,final_1_2,2026-04-17,yes
03_outputs/active/figures_FINAL_1_2_TR,output,active,analysis_owner,final_1_2_tr,2026-04-17,no
03_outputs/legacy,output,legacy,analysis_owner,v3_series,2026-04-17,no
Manuscript_Data,doc,active,analysis_owner,v1,2026-04-17,yes
99_archive/by_date/2026-04-17_reorg_wave1,archive,archive,workspace_steward,wave1,2026-04-17,no
99_archive/snapshots,archive,active,workspace_steward,wave1,2026-04-17,yes
99_archive/indexes/archive_lookup.csv,archive,active,workspace_steward,v1,2026-04-17,yes
